text
@tofu_niconico 何を言っているのかわからないままふぁぼってるところがあるので…
@simcatcy がかねこ引退！？！？ｗｗｗｗよっしゃあああ〜〜ｗｗｗｗｗｗ俺前からあいつの事…好きだった…なのにただ恥ずかしいからって想いを隠してきた…でも突然居なくなってこの想いを伝えられなかった…また……いつか…この想いを…好きという言葉に変えて伝えられたらな…
@kinzokuseitarai よかったらお願いします
@kinzokuseitarai いいの！？体操（ファッキンファッキンファッキンファッキンセブロウファッキンファッキンホッ！）
@kinzokuseitarai @製図Pくそ熱ウォッチ
@uu_s6 やぁ
@manoanoap930 32歳おめでとうございます
@Zakuzakuzakuron いや、プリキュアだって言っといて自分がやってないじゃん…なに二毛作って…どの立ち位置のキャラなの…価値観は十人十色だけど少なくとも私はそのキャラには萌えない自信がある。もしかして本当に稲作の方じゃないよね！？もしそうだったら絶対許さないから…
@shironeko4601 それは合ってるけどここまで積極的ではないのであまり表沙汰にはならない
@ryo_n87039 ヒードラン
（元気ないな励ましてやるか）ポケモン縛りしりとりしようぜ！w俺からな！w焼き畑農業！ｗｗｗｗふｗｗｗｗえ、あ、いやネタだよwネタだって。そう言うネタ。……ごめん。ごめんって！待ってよ！俺が悪かった！悪かったって！ごめんなさい！ごめんなさい！ごめん…なさい…うぅ、またやっちゃった…
@yuhe2525 何度でも間違えてくれていい
@maressyii 使い勝手が悪いので同じデザインで書いていくことにしました
@buritukuri ？
@nonco_haru わぁい！！
ブログ書きました。よければ見てください。http://ameblo.jp/funiimouto
@wolpis_kater すげぇ似てる
@SiNxxx526 T!N
ちんぽ
@zairyoutyuu 映像を取り込む機器を紛失してしまった…エボニー＆アイボリーを失くしたダンテはもう、戦えないんだよ…
@okdx1515 僕も彼には憧れていました。しかし彼は既に時の人。少し遅い北国の雪解けと共に私たちの前から消えてしまった
@zairyoutyuu 東京グールop逆再生を
@okdx1515 嫌です
@syotasukisuki スヌーピーのやつで軽いムチ打ちになり、辛い思いをしました。１１月になった次点で休みが取れたら総勢８００名あまりで行きたいですね
@warotakun1sai ありがとうございます！！気づきませんでした…よほどの時間を費やされたものと思われます…ありがとうございます…！
@zairyoutyuu 俺はそんな動画は知らん
@P6F1A なるほど…そう言われると反論の余地はありません…
@syotasukisuki 上手い人が使うと本当に手がつけられないのですが、大抵固定で使ってくるので腹が立ちます（ボルゾイ企画ですか？にわかなので絶叫青鬼しか見たことありません）本当ですか！？前回全然アトラクションに乗れなかったので迷っています
@grief_art 剣士を使ってリーチを生かした攻撃を繰り返していれば比較的簡単に出し抜けるのでオススメです
@m_y_f_ 何を露出しようというのか。煩悩に支配された穢らわしい豚め！！！
@_ku_ne ラブライブの装飾をまとって
@_ku_ne １１月にUSJに行きたいんですけど友達がいないので一緒に行きませんか
世界水泳男子１００ｍ自由形に現れた素性の知れぬ謎の選手！鋭い眼光！鍛え上げられた美しい肉体！優勝の二文字を見据えながらジェットスキーに跨った！自由形の意味を履き違えているのだ！
@Mdkhrs3 背中にいたずら　するときも（するときも）ブラックコーヒー　飲む時も（飲む時も）私の私の彼は＼ﾃﾞｯﾃﾞｯ／火の車～
@grief_art ＿人人人人人人人人人＿＞　                             　＜＞　＿人人人人人＿  　＜＞　＞　 わかる　＜　＜＞　￣Y^Y^Y^Y￣        　＜￣Y^Y^Y^Y^Y^Y^Y^Y￣
@0sarina326 おめでとうございます！しかし昨日は反対に「お前の歌のせいでダメだった、許せない！独房にぶち込んでやる！」という意見を頂きました。不思議ですね
@Potta_kaliw 中学は国から保証されている部分が大きいためそれほど目立った箇所はありません。しかし高校は違います。悪人の温床です。校内喫煙が蔓延り、至る所から助けを求める声が上がりますが誰も耳を傾けません。自分の身を護るためです。脅しではありません。高校はやめた方が良い
大学生は大体、三ヶ月ほどの夏休みが終わると3～5日学校に行ったのち、三か月ほどの冬休みを迎えます
@Mdkhrs3 途中で飽きて寝てしまいました…
@BiribiriStockin ｷﾞｴﾋﾟｰ！（クッパJr）化物！
@BiribiriStockin 二人共鬼的な強さですね！？1on1の勝率はどれくらいですか！？
@BiribiriStockin ドンｗドンｗドンｗドンキーｗｗｗｗｗｗｗ
@BiribiriStockin 誰か一人わかりませんが、ありがとうございました
@BiribiriStockin 入りました
@BiribiriStockin スマブラしましょう
@mikumiku_tntn (´◔౪◔)なにっごちうさ見れなくて具合悪い！？  ( ◠‿◠ )オペを始めます -数分後- ( ՞۝՞)あ＾～こころがぴょんぴょんするんじゃ～wwww＿|￣|Σ∴'-=≡( ՞ਊ ՞)ｳｩｯﾋｮｵｱww-数十分後- （◞‸◟）死力は尽くしました
@vmai_o0vV そうです
今から久しぶりにブログを執筆させて頂きます。
@rightmegane 買ったら対戦キャスをしましょう。ポケモンでは多少腕が立つからといってでかい顔をしていたあなたが完膚なきまでに叩きのめされる様子を配信したいです
@rightmegane スマブラ買った？
@yakisobakuitai おう
@syotasukisuki こちらこそありがとうございます。フォロワーの中からメディア人が誕生するのは誉れ高いことです。今後、さらなる飛躍を期待しています
@Zakuzakuzakuron うわぁー！暗黒物質（ダークマター）を纏って淡く光り輝いている！
@asuozinori_ アチャモは使えませんが、その際は是非対戦しましょう
@michizane_growl ありがとうございます。そろそろ要求される側になってみたいものです
@michizane_growl Dir en grey　Cageお願いします
ぐ…ぐう…！ぐうの音も出ない！
@Mdkhrs3 米俵
@miyosann この私の歌唱力が、そのまま答えで良さそうだ＼ﾃﾞﾝｯ／
@miyosann ないないないないないないないないないないないｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@colnigusu 定期的に人の童貞武勇伝を晒し上げるな！！
@colnigusu 胸にしか興味がなかった。それ以外何も考えられなかった
@ohipon ほぼ病気ですよそれは
@_ku_ne 残念でならない
精巧な性交に成功！！！！！！！ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
@langu_1222 ありがとう
@__818if ｳﾋｮー！ありがとうございます！
@nachikyan610 ﾜﾗﾀ！w
@vmai_o0vV そうですよ(^_^)/
@minori_1651 おめでとうございます
うまい棒オタク味
@y_pp_n_k 本当にすまないと思っている！！！！！！
@xxxbrk ありがとうございます！(^_^)/
@amnos6345 すげぇ！！！！ありがとうございます！
@ayacha223 ありがとうございます！
@Bio_guitar 工業高校生かな？
@syotasukisuki うるせぇババア！！！！！！！！
@tamama5 あ…だからか…（全てのピースが音を立ててはまる）
@kasakikuro 誰にも言ったことがないです
@bisssssss_love 勇者じゃないですか（ほぼ誰も知らないのに）
@OMKN_death ケッキングが欠勤ぐ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
@kondoroithin 全然違うんですけど何故か今日、もしくは明日と認識なさっている方が多く、いつそんな適当なことを言ったのかと思い返すのですが、全く身に覚えがありません
@itsuki_meimomo 8月です
@nonco_haru 全然違います
全然誕生日じゃないのに何故か祝われて困惑してます
@kanikaniranchi ありがとうございます。猶予があと5年になりました
殺伐としたタイムラインにセーラームーンが！！！！コナン「オッス！オラ、ルフィだってばよ！」
@kuroha_kano1010 うわぁ！？ありがとうございます！保存させて頂きます！
@_Ryonman_ 服装が×
@polaris_k_k ありがとうございます
スマブラで一番抜けるキャラはガノンドロフ
@fujiimoutoo 泌尿器科へ行け
幼女「カアーーーッ！！！！！ペッ！ペッ！！！！（痰を吐く）」
@UemuRADWIMPS 臭そうなので無理です
金の亡者カネキ君描きました（アナログ） https://pic.twitter.com/tcgf56C1H0
@siondaahon ベガス（こっち）はまだ明るいんだ
@siondaahon 俺の浮上は遅い
┗(⌒)(╬*☻-☻*╬)(⌒)┛＜クッソリムられた！！クソクソ！！！！怒怒怒！！！！キレテル！！！！イライラ！！！！アークソー！！！！グガー！！！！クソリムられた！！！！グースカピー！！起きてるわけがない！！！イライラ！！！！！ハンパないレム悲しみ！！ノンレム怒り！
@ryo_n87039 新ジャンル：警備（まも）かわいい
@OMKN_death ☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝☝(╹_╹)☝
